name,name_en,domain,phone,email,brandos_org_type,brandos_county_city,brandos_relationship_stage,brandos_source_node,brandos_public_disclosure_ok,brandos_consent_basis,notes
台北市媒體服務代理商協會,Media Agency Association Taipei,,02-2727-6698 #107,maa.taipei@yahoo.com.tw,trade_association,taipei,cold,maa,true,public_business_contact,產業公會非代理商；優先對口，一次談成可帶動全體會員
凱絡媒體服務股份有限公司,Carat Media,carat.com,02-2717-5238,info.taiwan@carat.com,media_agency,taipei,cold,maa,true,public_business_contact,dentsu 集團
陽獅銳奇媒體,Publicis Groupe Taiwan,,02-2700-3151,,media_agency,taipei,cold,maa,true,public_business_contact,email 待補；與星傳媒體事業處同集團
貝立德,dentsu X Taiwan,dxglobal.com,02-2720-6768,robin.lu@dxglobal.com,media_agency,taipei,cold,maa,true,public_business_contact,dentsu 集團
彥星喬商,Geosun,geosun.com.tw,02-8768-1168,jasmine@geosun.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,本土獨立代理商
香港商傳立媒體,Zenith Media Taiwan,zenithmedia.com.tw,02-7710-6699,,media_agency,taipei,cold,maa,true,public_business_contact,無公開 email；聯絡表單 https://www.zenithmedia.com.tw/contact
浩騰媒體,OMD Taiwan,omd.com,02-2181-7165,Vivian.lu@omd.com,media_agency,taipei,cold,maa,true,public_business_contact,Omnicom 集團；與奇宏策略同電話
凱普洛克,Caplock,caplock.com.tw,02-2578-1068,yaya.chiu@caplock.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,
偉視捷媒體,Vizeum Taiwan,vizeum.com,02-2717-3717,kesy.lee@vizeum.com,media_agency,taipei,cold,maa,true,public_business_contact,dentsu 集團
辰星媒體行銷有限公司,Morning Star Media Marketing,doublestar.com.tw,02-2356-0520,kasy@doublestar.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,
奇宏策略,PHD Media Taiwan,phdmedia.com,02-2181-7165,cathy.yang@phdmedia.com,media_agency,taipei,cold,maa,true,public_business_contact,Omnicom 集團；第二聯絡人 Yvonne.lee@phdmedia.com
博報堂行效股份有限公司,Hakuhodo Taiwan,hakuhodo.com.tw,02-2545-7766,pisces@hakuhodo.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,日商
媒體庫傳播股份有限公司,Wavemaker Taiwan,wmglobal.com,02-7710-6288,hello@wmglobal.com,media_agency,taipei,cold,maa,true,public_business_contact,WPP 集團；第二信箱 wavemakerglobalpc@wmglobal.com
香港商陽獅銳奇媒體股份有限公司台灣分公司星傳媒體事業處,Starcom Taiwan,starcomww.com,02-2704-2211,TAIWAN@starcomww.com,media_agency,taipei,cold,maa,true,public_business_contact,Publicis 集團
美商艾比傑媒體行銷股份有限公司台灣分公司,Mediabrands Worldwide Taiwan Branch,mbww.com,02-2760-3338,mei.chang@mbww.com,media_agency,taipei,cold,maa,true,public_business_contact,IPG 集團
博崍媒體股份有限公司,Bright Media,brightmedia.com.tw,02-7701-2345,service@brightmedia.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,
倍盛美傳媒股份有限公司,BCM Company Ltd.,bcmgroup.com.tw,02-2754-6888,lilian.lin@bcmgroup.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,
香港商競立媒體,MediaCom Taiwan,,02-7710-6199,,media_agency,taipei,cold,maa,true,public_business_contact,email 與 domain 待補；WPP 集團
宏將廣告股份有限公司,Media Drive,mediadrive.com.tw,02-2502-0598,contact@mediadrive.com.tw,media_agency,taipei,cold,maa,true,public_business_contact,本土獨立代理商
